normalized_key,original_entries,ranks,key_kinds,affected_records_in_our_data,data_venue_examples,current_match_target,priority_flag,rank_conflict
sensors,[SJR:norm_title] Sensors International | [SJR:norm_title] Sensors | [SJR:norm_title] Journal of Sensors,SJR Q1 | SJR Q1 | SJR Q2,norm_title,19,"Sensors (x14) | Sensors (Switzerland) (x4) | Sensors (Basel, Switzerland) (x1)",[SJR Q2] Journal of Sensors,HIGH,Y
acm ieee human robot interaction,[CORE:norm_title] ACM/IEEE International Conference on Human-Robot Interaction | [SJR:norm_title] ACM/IEEE International Conference on Human-Robot Interaction,CORE A* | SJR -,norm_title,11,Proceedings of the 2024 ACM/IEEE International Conference on Human-Robot Interaction (x3) | 2025 20th ACM/IEEE international conference on human-robot interaction (HRI) (x2) | 2018 13th ACM/IEEE international conference on human-robot interaction (HRI) (x1),[CORE A*] ACM/IEEE International Conference on Human-Robot Interaction,HIGH,Y
ieee multimedia,[CORE:norm_title] IEEE International Symposium on Multimedia | [SJR:norm_title] IEEE Transactions on Multimedia | [SJR:norm_title] IEEE Multimedia,CORE C | SJR Q1 | SJR Q1,norm_title,10,IEEE Transactions on Multimedia (x8) | 2016 IEEE international symposium on multimedia (ISM) (x1) | IEEE MultiMedia (x1),[CORE C] IEEE International Symposium on Multimedia,HIGH,Y
neurology,[SJR:norm_title] Neurology | [SJR:norm_title] Journal of Neurology | [SJR:norm_title] Neurology International,SJR Q1 | SJR Q1 | SJR Q2,norm_title,9,Journal of Neurology (x6) | Neurology (x2) | Neurology International (x1),[SJR Q2] Neurology International,HIGH,Y
biomechanics,[SJR:norm_title] Journal of Biomechanics | [SJR:norm_title] Biomechanics (Switzerland) | [SJR:norm_title] International Biomechanics,SJR Q1 | SJR Q3 | SJR Q3,norm_title,8,Journal of Biomechanics (x8),[SJR Q3] International Biomechanics,HIGH,Y
personalized medicine,[SJR:norm_title] Journal of Personalized Medicine | [SJR:norm_title] Personalized Medicine,SJR Q1 | SJR Q3,norm_title,7,Journal of Personalized Medicine (x7),[SJR Q3] Personalized Medicine,HIGH,Y
psychological research,[SJR:norm_title] Psychological Research | [SJR:norm_title] International Journal of Psychological Research,SJR Q1 | SJR Q3,norm_title,6,Psychological Research (x5) | Psychological research (x1),[SJR Q3] International Journal of Psychological Research,HIGH,Y
ieee image processing,[CORE:norm_title] IEEE International Conference on Image Processing | [SJR:norm_title] IEEE Transactions on Image Processing,CORE B | SJR Q1,norm_title,5,IEEE Transactions on Image Processing (x3) | 2016 IEEE international conference on image processing (ICIP) (x1) | 2018 25th IEEE international conference on image processing (ICIP) (x1),[CORE B] IEEE International Conference on Image Processing,HIGH,Y
movement disorders,[SJR:norm_title] Movement Disorders | [SJR:norm_title] Journal of Movement Disorders,SJR Q1 | SJR Q2,norm_title,5,Movement Disorders (x5),[SJR Q2] Journal of Movement Disorders,HIGH,Y
computers education,[CORE:norm_title] International Conference on Computers in Education | [SJR:norm_title] Computers and Education | [SJR:norm_title] Journal of Computers in Education,CORE C | SJR Q1 | SJR Q1,norm_title,4,Computers and Education (x4),[CORE C] International Conference on Computers in Education,HIGH,Y
healthcare,[SJR:norm_title] Healthcare (Switzerland) | [SJR:norm_title] Healthcare,SJR Q1 | SJR Q2,norm_title,4,Healthcare (Switzerland) (x4),[SJR Q2] Healthcare,HIGH,Y
human computer interaction,[SJR:norm_title] International Journal of Human-Computer Interaction | [SJR:norm_title] Human-Computer Interaction,SJR Q1 | SJR Q2,norm_title,4,International Journal of Human-Computer Interaction (x4),[SJR Q2] Human-Computer Interaction,HIGH,Y
ieee automation science engineering,[SJR:norm_title] IEEE Transactions on Automation Science and Engineering | [SJR:norm_title] IEEE International Conference on Automation Science and Engineering,SJR Q1 | SJR -,norm_title,4,IEEE Transactions on Automation Science and Engineering (x2) | 2018 IEEE 14th international conference on automation science and engineering (CASE) (x1) | 2023 IEEE 19th international conference on automation science and engineering (CASE) (x1),[SJR -] IEEE International Conference on Automation Science and Engineering,HIGH,Y
