in_sample_30,judge_relevance,Key,DOI,Year,Venue,Title,MeSH_terms,Abstract_excerpt
,,GHKHZ7EM,10.7861/fhj.2019-0036,2019,Future healthcare journal,Virtual reality and the transformation of medical education.,Virtual reality; medical education; simulation; innovation; nursing education,"Medical education is changing. Simulation is increasingly becoming a cornerstone of clinical training and, though effective, is resource intensive. With  increasing pressures on budgets and standardisation, virtual reality (VR) is  emerging as a new method of delivering simulation. VR offers benefits for  learners and educators, delivering cost-effective, repeatable, standardised  clinical trainin"
,,E3AY9RLL,10.3389/fbinf.2022.997082,2022,Frontiers in bioinformatics,Challenges of intracellular visualization using virtual and augmented reality.,virtual reality; augmented reality; bioimaging; intracellular imaging; multi-dimensional biological data,"Microscopy image observation is commonly performed on 2D screens, which limits human capacities to grasp volumetric, complex, and discrete biological dynamics.  With the massive production of multidimensional images (3D + time,  multi-channels) and derived images (e.g., restored images, segmentation maps, and  object tracks), scientists need appropriate visualization and navigation methods  to bet"
Y,,RGWYL4LQ,10.1007/s00520-025-09338-4,2025,Supportive care in cancer : official journal of the Multinational Association of Supportive Care in Cancer,Assessing safety and feasibility of virtual reality intervention in patients with lung cancer: a pilot study.,Mental Health; Humans; Female; Male; Aged; Middle Aged; *Virtual Reality; *Lung Neoplasms/psychology/therapy; Anxiety/etiology; Feasibility Studies; Lung cancer; Patient care; Pilot Projects; Proof of Concept Study; Psychological distress; Symptom burden; Virtual reality (VR) software,"PURPOSE: Lung cancer, the leading cause of cancer deaths, severely impacts psychological well-being, worsened by the stigma of smoking behavior. This study  evaluated the safety, acceptability, and preliminary efficacy of customized  virtual reality (VR) software for people with lung cancer, focusing on its  potential to enhance mental health in patient care. METHODS: Patients with lung  cancer un"
,,GKNBY4I8,10.1089/cyber.2022.0231,2023,"Cyberpsychology, behavior and social networking",Using Virtual Reality in E-Cigarette and Secondhand Aerosol Prevention Messages: Implications for Emotional Campaign Design.,virtual reality; emotions; psychological distance; Humans; Young Adult; *Virtual Reality; *Electronic Nicotine Delivery Systems; *Vaping/prevention & control; Aerosols; campaign; e-cigarette; Emotions; vaping,"Vaping has dramatically increased in recent years among young adults. To increase risk perceptions and promote preventive behaviors against vaping and secondhand  e-cigarette aerosol (SHA), this study designed and tested virtual reality (VR)  messages based on the theory of psychological distance. We randomly assigned 137  participants to see one of three messages: a VR message presenting SHAs imp"
,,LCS6G766,,1997,Studies in health technology and informatics,Virtual reality as assessment tool in psychology.,"Humans; *Computer Graphics; *Computer Simulation; Mental Disorders/*diagnosis; Psychology, Clinical/instrumentation/*methods","Virtual environments (VEs), offering a new human-computer interaction paradigm, have attracted much attention, in clinical psychology, especially in the  treatment of phobias. However, a possible new application of VR in psychology is  as assessment tool: VEs can be considered as an highly sophisticated form of  adaptive testing. This chapter describes the context of current psychological  assessm"
,,C5E5C39B,10.7759/cureus.91046,2025,Cureus,Impact of Early Rehabilitation on Functional Recovery After Kidney Transplantation: A Retrospective Cohort Study.,early rehabilitation; frailty; kidney transplantation; renal rehabilitation; unsupervised home training,"BACKGROUND: The trajectory of recovery following early rehabilitation after kidney transplantation remains poorly understood, particularly in relation to  preoperative frailty. This study aimed to examine how physical function and  health-related quality of life (HRQOL) recover over time after kidney  transplantation with early rehabilitation. In particular, we assessed whether  recovery patterns "
,,TD4ILZYC,10.7759/cureus.55377,2024,Cureus,The Evaluation of Virtual Reality Neuroanatomical Training Utilizing Photorealistic 3D Models in Limited Body Donation Program Settings.,virtual reality; education; photogrammetry; neuroanatomy; photorealistic three-dimensional models,Background Neuroanatomy is one of the most complex areas of anatomy to teach to medical students. Traditional study methods such as atlases and textbooks are  mandatory but require significant effort to conceptualize the three-dimensional  (3D) aspects of the neuroanatomical regions of interest. Objectives To test the  feasibility of human anatomy teaching medical students in a virtual reality (VR
,,NSNCDVMD,10.3389/fmed.2023.1176360,2023,Frontiers in medicine,Ultrasonographic study of female perineal body and its supportive function on pelvic floor.,female perineal body; high-frequency two-dimensional ultrasound; pelvic floor dysfunction; shear wave elastography; Young’s modulus,"OBJECTIVES: The study aimed to observe, measure the size and elastic value of perineal body (PB) and assess its association with levator hiatus. METHODS:  Datasets were acquired in 45 nulliparous, 66 POP women and 70 postpartum women  using ultrasound. The PB was measured in depth, height, and Young's modulus. The  datasets were compared to assess whether there are some differences in the  morphol"
,,FT4AAU2A,10.12116/j.issn.1004-5619.2021.411008,2022,Fa yi xue za zhi,Characteristics of the Distance and Space Required for Knife Slashing Using a Motion Capture System.,motion capture; Humans; Female; Male; Biomechanical Phenomena; *Crime; *Motion Capture; body position; forensic medicine; mannequin; slashing; slashing distance; space required for slashing,"OBJECTIVES: To investigate the relationship between the perpetrator's sex, victim's position and slashing location as well as anthropometric parameters on  distance and space required for slashing, to provide the theoretical basis for  the judgment of whether the crime scene was consistent with the criminal activity  space. METHODS: The kinematics data of 12 male and 12 female subjects slashing  t"
,,7Y6D3936,10.1038/s41598-020-70856-8,2020,Scientific reports,"Perceived match between own and observed models' bodies: influence of face, viewpoints, and body size.","Humans; Female; Young Adult; Surveys and Questionnaires; Body Mass Index; Self Concept; *Body Image; Pattern Recognition, Visual/*physiology; *Face; Anorexia Nervosa/physiopathology/psychology; Body Size/*physiology; Cognition/*physiology; Judgment/physiology; Size Perception/physiology; Weight Perception/physiology","People are generally unable to accurately determine their own body measurements and to translate this knowledge to identifying a model/avatar that best  represents their own body. This inability has not only been related to health  problems (e.g. anorexia nervosa), but has important practical implications as  well (e.g. online retail). Here we aimed to investigate the influence of three  basic vis"
